Province_State,Admin2,UID,iso2,iso3,code3,Lat,Long_,Total_confirmed_cases_01_2020,Total_confirmed_cases_02_2020,Total_confirmed_cases_03_2020,Total_confirmed_cases_04_2020,Total_confirmed_cases_05_2020,Total_confirmed_cases_06_2020,Total_confirmed_cases_07_2020,Total_confirmed_cases_08_2020,Total_confirmed_cases_09_2020,Total_confirmed_cases_10_2020,Total_confirmed_cases_11_2020,Total_confirmed_cases_12_2020,Total_confirmed_cases_01_2021,Total_confirmed_cases_02_2021,Total_confirmed_cases_03_2021,Total_confirmed_cases_04_2021,Total_confirmed_cases_05_2021,Total_confirmed_cases_06_2021,Total_confirmed_cases_07_2021,Total_confirmed_cases_08_2021,Total_confirmed_cases_09_2021,Total_confirmed_cases_10_2021,Total_confirmed_cases_11_2021,Total_confirmed_cases_12_2021,Total_confirmed_cases_01_2022,Total_confirmed_cases_02_2022,Total_confirmed_cases_03_2022,Total_confirmed_cases_04_2022,Total_confirmed_cases_05_2022,Total_confirmed_cases_06_2022,Total_confirmed_cases_07_2022,Total_confirmed_cases_08_2022,Total_confirmed_cases_09_2022,Total_confirmed_cases_10_2022,Total_confirmed_cases_11_2022,Total_confirmed_cases_12_2022,Total_confirmed_cases_01_2023,Total_confirmed_cases_02_2023,Total_confirmed_cases_03_2023
Alabama,Crenshaw,84001041,US,USA,840,31.72941803,-86.31593104,0,0,1,21,82,131,298,476,543,621,720,954,1312,1443,1502,1513,1540,1584,1677,2081,2405,2509,2607,2736,3620,3770,3797,3829,3848,3966,4128,4277,4394,4407,4423,4516,4673,4730,4738
Alabama,Cullman,84001043,US,USA,840,34.13020303,-86.86888037,0,0,9,58,147,405,1137,1628,1905,2821,4515,7079,8551,8891,9380,9600,9843,10008,10503,12451,14848,15703,16067,16977,23013,24340,24498,24588,24779,25554,26856,27995,29369,29584,29789,30119,30982,31438,31520
Alabama,Dale,84001045,US,USA,840,31.43037123,-85.61095742,0,0,0,26,119,243,763,1092,1407,1924,2362,3325,4290,4640,4760,4802,4902,4946,5605,7495,8693,8944,9024,9393,11828,12424,12860,12898,13064,13493,14317,15000,15415,15516,15634,15789,16164,16436,16507
Alabama,Dallas,84001047,US,USA,840,32.32688101,-87.10866709999998,0,0,2,36,275,810,1323,1622,1786,1906,2268,2769,3224,3403,3515,3531,3597,3622,3742,4290,4739,5207,5295,5561,7813,8301,8384,8427,8487,8731,9511,9879,10088,10160,10218,10357,10756,10935,11031
Alabama,DeKalb,84001049,US,USA,840,34.45946862,-85.80782906,0,0,4,72,250,613,1677,2168,2480,3686,4922,6900,8133,8446,8697,8802,8896,9028,9498,10913,12294,12727,12985,13538,17619,18555,18737,18762,18853,19136,19884,20770,21182,21359,21538,21738,22183,22466,22522
Alabama,Elmore,84001051,US,USA,840,32.59785413,-86.14415284,0,0,12,90,350,808,1586,2202,2743,3304,4129,6435,8602,9376,9953,10024,10233,10315,10890,12878,14620,15488,15912,16730,22052,22862,23039,23366,23547,24422,25963,26970,27666,27851,28129,28545,29363,29745,29837
Alabama,Escambia,84001053,US,USA,840,31.1256789,-87.15918694,0,0,0,26,66,263,1006,1418,1613,1771,1989,2661,3523,3774,3861,3925,3968,4035,4392,5719,6623,6854,6957,7263,9596,9951,9990,10019,10131,10413,10940,11321,11573,11657,11736,11863,12229,12347,12367
Alabama,Etowah,84001055,US,USA,840,34.04567266,-86.04051873,0,0,9,135,254,628,1917,2812,3569,4522,6439,10031,12515,13176,13647,13772,13981,14241,14928,17143,19496,19899,20026,20687,27123,28671,28773,28780,28837,29292,30290,31176,31925,32489,32780,33129,33757,34137,34229
Alabama,Fayette,84001057,US,USA,840,33.72076938,-87.73886638,0,0,1,8,18,73,188,346,480,613,925,1430,1856,2002,2063,2117,2147,2201,2267,2493,2820,3010,3303,3417,4380,4899,4975,4984,5001,5060,5202,5384,5548,5599,5639,5694,5817,5871,5887
Alabama,Franklin,84001059,US,USA,840,34.44235334,-87.84289505,0,0,5,60,563,857,1177,1547,1799,2176,2564,3270,3842,3991,4185,4233,4273,4326,4566,5229,5839,6094,6342,6561,9144,9800,9854,9895,9930,10106,10344,10728,11261,11365,11458,11566,11855,11996,12033
Alabama,Geneva,84001061,US,USA,840,31.09389027,-85.83572839,0,0,0,9,44,70,228,443,655,973,1243,1677,2258,2396,2446,2468,2559,2593,2828,3683,4481,4593,4643,4760,5842,6181,6458,6475,6519,6699,7001,7275,7385,7490,7529,7591,7777,7907,7969
Alabama,Greene,84001063,US,USA,840,32.85504247,-87.95684022,0,0,1,58,100,172,250,291,307,350,428,672,801,876,904,921,928,937,991,1139,1224,1277,1302,1367,1731,1852,1868,1875,1885,1963,2045,2090,2138,2149,2160,2194,2253,2292,2309
Alabama,Hale,84001065,US,USA,840,32.76039258,-87.63284988,0,0,1,49,177,297,463,572,662,798,978,1440,1958,2097,2162,2213,2252,2274,2351,2692,2938,3137,3184,3309,4383,4668,4708,4727,4801,4961,5168,5283,5375,5396,5434,5523,5631,5705,5728
Alabama,Henry,84001067,US,USA,840,31.51148016,-85.24267944,0,0,0,23,80,134,254,390,517,749,875,1247,1675,1824,1867,1886,1934,1953,2128,2644,3049,3149,3207,3321,4220,4434,4571,4572,4624,4788,5061,5273,5392,5498,5530,5574,5737,5837,5866
Alabama,Houston,84001069,US,USA,840,31.15197924,-85.29939599,0,0,10,94,221,440,1297,2097,2964,4318,5377,7279,9471,10086,10332,10487,10714,10840,12021,14705,16985,17498,17741,18474,23684,24878,25646,25703,26018,26925,28289,29435,30279,30488,30703,31004,31933,32514,32660
Alabama,Jackson,84001071,US,USA,840,34.78144169,-85.99750489,0,0,10,48,79,210,768,1295,1600,2328,3298,5097,6245,6492,6724,6790,6866,7040,7384,8236,9479,10059,10170,10637,13988,14897,15021,15039,15117,15391,15981,16567,16969,17110,17270,17525,18059,18311,18379
Alabama,Jefferson,84001073,US,USA,840,33.55554728,-86.89506300000002,0,0,286,911,1862,4390,11540,16473,20188,24380,33064,52339,66884,70986,74710,76128,80195,81290,85143,101002,112407,115597,116186,126583,175014,181836,184411,185164,187998,195597,205650,213383,219105,220753,223110,225876,231643,237792,238727
Alabama,Lamar,84001075,US,USA,840,33.77995024,-88.09668032,0,0,1,10,27,68,193,290,380,529,689,1056,1248,1328,1384,1408,1450,1476,1509,1710,2017,2324,2519,2613,3412,3644,3723,3733,3757,3861,4057,4249,4381,4457,4524,4572,4661,4716,4737
Alabama,Lauderdale,84001077,US,USA,840,34.90171875,-87.65624729,0,0,13,36,161,441,1023,1454,1764,2740,4223,6478,8180,8603,9140,9376,9511,9645,10240,11982,13701,14650,14991,15863,22518,23910,24070,24137,24356,25057,26166,27464,28206,28448,28777,29121,29954,30323,30406
Alabama,Lawrence,84001079,US,USA,840,34.52041498,-87.31069453,0,0,5,12,52,110,321,501,649,944,1316,2044,2647,2829,2926,2992,3076,3144,3257,3746,4142,4572,4831,5071,7088,7562,7650,7671,7713,7879,8208,8590,8862,8944,9015,9102,9289,9368,9389
Alabama,Lee,84001081,US,USA,840,32.60154883,-85.35132246,0,0,83,392,559,1204,2576,4707,5998,6706,7814,10320,13829,14961,15417,15784,16115,16332,17184,20152,22831,25283,25590,26975,36183,37520,37625,37762,38224,39363,41460,43115,44149,44352,44730,45351,46651,47500,47646
Alabama,Limestone,84001083,US,USA,840,34.81185586,-86.98310072,0,0,19,47,109,439,1216,1750,2210,3117,4333,6822,8676,9359,9744,9920,10118,10209,10699,12630,14745,15745,16153,17088,23342,24652,24858,24974,25364,26175,27430,28601,29678,29932,30288,30685,31507,32058,32150
Alabama,Lowndes,84001085,US,USA,840,32.1597283,-86.65158371,0,0,1,67,250,457,552,622,659,728,802,945,1232,1310,1362,1385,1413,1422,1453,1603,1710,1769,1782,1876,2516,2597,2609,2616,2640,2721,2890,2987,3068,3077,3096,3148,3278,3358,3370
Alabama,Macon,84001087,US,USA,840,32.38759944,-85.69267724,0,0,2,37,81,172,316,441,483,564,745,999,1288,1420,1537,1587,1622,1635,1697,1955,2231,2418,2450,2614,3667,3830,3857,3870,3927,4085,4406,4609,4798,4813,4856,4941,5142,5267,5293
Alabama,Madison,84001089,US,USA,840,34.76327133,-86.55069633,0,0,115,236,349,981,4672,6341,7902,9741,13596,22197,29680,32405,33533,34485,35344,35846,37411,43897,50469,52810,53315,57750,82478,88219,89048,89830,91744,95272,99992,104317,107197,108219,109680,111206,113923,115627,116086
Alabama,Marengo,84001091,US,USA,840,32.24767634,-87.78796182,0,0,3,45,165,279,500,637,721,1061,1231,1793,2188,2434,2496,2502,2503,2509,2622,2997,3275,3391,3426,3509,4532,5150,5176,5190,5219,5388,5599,5710,5808,5831,5851,5895,6012,6078,6093
Alabama,Marion,84001093,US,USA,840,34.13697363,-87.88704173,0,0,12,78,122,205,540,767,963,1122,1436,2087,2613,2818,3062,3090,3178,3286,3455,4094,4853,5248,5413,5560,7552,7967,8114,8133,8224,8442,8790,9122,9361,9445,9534,9689,9936,10094,10113
Alabama,Marshall,84001095,US,USA,840,34.36975964,-86.30486727,0,0,5,321,700,1526,2847,3578,3972,4555,6353,9189,10780,11261,11854,12147,12338,12493,13079,15572,17951,18597,18790,19507,25848,27102,27336,27377,27549,28071,29016,30072,30912,31083,31310,31626,32460,32869,32967
Alabama,Mobile,84001097,US,USA,840,30.78472347,-88.20842409,0,0,51,1074,2242,3699,8429,12208,13568,17262,19951,25858,33060,36108,37492,40747,41551,42393,48584,63554,71192,72995,74241,78903,107243,112116,113100,113207,113733,116928,122196,125962,128048,128574,129275,130646,133249,134503,134986
Alabama,Monroe,84001099,US,USA,840,31.56729412,-87.36995001,0,0,2,13,36,194,433,546,591,666,790,1215,1569,1661,1705,1755,1790,1826,2015,2760,3219,3332,3374,3538,5010,5253,5267,5274,5293,5442,5811,6047,6170,6193,6254,6355,6578,6720,6742
Alabama,Montgomery,84001101,US,USA,840,32.2206831,-86.20969272,0,0,32,336,1730,3844,6125,7926,8863,10672,12435,16116,20921,22565,23743,24232,24871,25124,26119,30330,33411,34272,34492,37879,52396,54355,54694,55089,55929,58329,62703,65060,66773,67232,68078,69442,71949,73524,73840
Alabama,Morgan,84001103,US,USA,840,34.45500589,-86.85475946,0,0,19,69,295,1005,2207,2931,3374,4525,6861,10627,13001,13659,14131,14229,14520,14666,15147,17485,20017,21861,22459,23831,33760,35823,35988,36081,36362,37447,39523,41450,42857,43405,43841,44434,45674,46347,46540
Alabama,Out of AL,84080001,US,USA,840,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Perry,84001105,US,USA,840,32.64048341,-87.29770589,0,0,0,9,41,143,439,516,541,605,690,867,1027,1058,1079,1083,1082,1088,1103,1245,1367,1409,1419,1457,1953,2083,2091,2094,2104,2184,2309,2397,2486,2509,2523,2563,2624,2659,2673
Alabama,Pickens,84001107,US,USA,840,33.28094866,-88.08818103,0,0,5,51,116,209,359,562,670,929,1257,1734,2095,2246,2323,2334,2356,2372,2452,2790,3084,3249,3339,3467,4857,5151,5251,5260,5282,5412,5572,5805,5956,6023,6063,6122,6227,6317,6339
Alabama,Pike,84001109,US,USA,840,31.80396383,-85.9408295,0,0,4,67,210,407,655,975,1213,1387,1599,2023,2746,2933,3042,3090,3132,3150,3320,3989,4651,5022,5123,5433,7057,7414,7463,7576,7614,7755,8108,8539,8714,8761,8836,8902,9116,9241,9264
Alabama,Randolph,84001111,US,USA,840,33.29526734,-85.45708831,0,0,2,66,131,172,393,525,677,866,1049,1245,1518,1636,1752,1792,1846,1882,2003,2511,3144,3312,3348,3616,4837,5040,5078,5085,5092,5196,5455,5702,5869,5992,6087,6161,6387,6500,6527
Alabama,Russell,84001113,US,USA,840,32.28725256,-85.18415324,0,0,3,55,169,476,1199,1616,1776,1998,2238,2793,3751,4047,4230,4374,4505,4560,4789,5516,6130,6981,7088,7466,9483,9988,10039,10086,10194,10577,11244,11724,12020,12082,12185,12377,12780,12995,13030
Alabama,Shelby,84001117,US,USA,840,33.26879845,-86.66232561,0,0,97,321,533,1083,3074,4645,6202,7797,10616,15668,20216,21929,23048,23325,25401,25725,27192,32121,36609,37885,38351,41228,56338,58756,60519,60997,61934,63927,66620,68837,70999,72078,72859,73695,75569,77846,78112
Alabama,St. Clair,84001115,US,USA,840,33.71902176,-86.31029372,0,0,23,79,131,309,1223,1854,2378,3231,4325,6467,8159,8822,9350,9561,10034,10201,10737,13231,15585,16669,16904,17891,23910,24943,25231,25313,25579,26529,27882,28971,30078,30317,30862,31345,32362,33164,33302
Alabama,Sumter,84001119,US,USA,840,32.59117397,-88.19916205,0,0,1,62,220,275,369,410,439,488,586,849,930,984,1025,1039,1056,1062,1103,1182,1250,1340,1392,1473,2271,2548,2574,2586,2615,2697,2817,2901,2971,2996,3010,3024,3104,3164,3176
Alabama,Talladega,84001121,US,USA,840,33.37823223,-86.16886178,0,0,8,65,115,272,999,1777,2175,2805,3593,5165,6837,7517,7987,8167,8373,8482,8935,10713,13191,13994,14209,15004,20841,22013,22285,22339,22533,23097,24343,25628,26621,26797,27091,27380,28016,28482,28602
Alabama,Tallapoosa,84001123,US,USA,840,32.86698258,-85.79833053,0,0,12,287,435,564,835,1047,1166,1396,1843,2368,3325,3585,3847,3990,4077,4153,4511,5577,6778,7158,7273,7750,10835,11296,11375,11423,11486,11799,12486,13069,13560,13633,13747,13948,14403,14566,14611
Alabama,Tuscaloosa,84001125,US,USA,840,33.28726072,-87.52556818,0,0,31,218,791,2016,3840,6004,8941,10764,13246,18468,22421,24110,25059,25603,26031,26229,27145,30178,34266,35327,36052,37677,51690,54609,55838,56128,56952,59266,61594,63829,65788,66232,66755,67772,69498,70636,70976
Alabama,Unassigned,84090001,US,USA,840,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Walker,84001127,US,USA,840,33.80270512,-87.30027177,0,0,29,100,365,875,1469,1930,2357,2960,3710,5259,6158,6518,7058,7200,7284,7371,7775,9158,10723,11443,12067,12635,17395,18457,18592,18736,18843,19320,20309,21446,22290,22453,22610,22885,23697,24045,24154
Alabama,Washington,84001129,US,USA,840,31.4092794,-88.20689944,0,0,3,34,75,105,309,521,558,773,922,1184,1474,1566,1639,1666,1687,1707,1843,2290,2460,2526,2570,2616,3447,3678,3730,3731,3750,3866,3999,4099,4161,4178,4199,4252,4333,4388,4397
Alabama,Wilcox,84001131,US,USA,840,31.98773215,-87.30891118,0,0,3,65,152,281,406,513,530,575,642,883,1137,1218,1249,1262,1275,1272,1323,1446,1616,1714,1776,1852,2682,2855,2876,2888,2903,2974,3185,3336,3422,3450,3471,3516,3588,3645,3659
Alabama,Winston,84001133,US,USA,840,34.15030532,-87.37325922,0,0,2,14,86,234,421,574,745,980,1351,1968,2379,2467,2717,2733,2786,2838,2983,3577,4319,4682,4780,4949,6919,7528,7570,7573,7594,7779,8053,8388,8758,8840,8904,9030,9300,9405,9427
Alaska,Aleutians East,84002013,US,USA,840,55.32222414,-161.9722021,0,0,0,0,0,2,3,4,12,16,38,43,87,362,364,366,369,369,375,401,423,435,451,454,860,1030,1053,1100,1106,1150,1185,1205,1273,1311,1314,1321,1324,1331,1332
Alaska,Aleutians West,84002016,US,USA,840,52.3233,-174.1596,0,0,0,0,0,4,88,93,96,99,108,198,328,557,652,692,706,732,785,812,902,931,946,955,1579,1677,1685,1690,1697,1807,1858,1878,1886,1892,1894,1897,1954,2003,2003
Alaska,Anchorage,84002020,US,USA,840,61.14998174,-149.14269860000005,0,0,63,182,241,492,1798,3187,4666,8399,16859,22922,25483,26607,28397,30183,30786,31233,33071,38061,47929,56925,61334,63763,93006,100540,102572,104849,107534,112226,116088,119504,120636,121136,121626,122244,123244,124196,124334
Alaska,Bethel,84002050,US,USA,840,60.90980451,-159.8561831,0,0,0,1,3,11,21,63,120,477,1578,2428,3341,3559,3767,3876,3902,3919,4023,4402,5129,5990,6776,6947,8091,8877,9971,10227,10494,10805,11195,11955,12113,12224,12355,12469,12722,12928,13021
Alaska,Bristol Bay,84002060,US,USA,840,58.74513976,-156.701064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Bristol Bay plus Lake and Peninsula,84002164,US,USA,840,58.62403337,-156.21405890000003,0,0,0,0,2,40,68,75,94,113,144,158,170,180,185,195,198,203,207,253,371,495,544,566,746,795,838,871,885,1028,1168,1189,1198,1217,1218,1222,1232,1240,1240
Alaska,Chugach,84002063,US,USA,840,61.16666,-149.9,0,0,0,0,2,19,59,79,85,114,164,221,258,285,332,402,437,441,597,739,931,1146,1227,1247,1616,1857,1950,1985,2031,2123,2275,2340,2364,2384,2388,2390,2392,2405,2407
Alaska,Copper River,84002066,US,USA,840,60.3886,-162.8905196,0,0,0,0,0,2,31,41,42,66,115,152,187,206,230,242,244,254,300,345,461,568,680,712,841,944,956,966,987,1101,1173,1243,1274,1275,1286,1292,1302,1316,1326
Alaska,Denali,84002068,US,USA,840,63.67264044,-150.0076108,0,0,0,0,0,1,4,5,11,31,43,60,68,73,88,102,110,114,119,164,236,270,293,299,353,385,410,416,536,900,1362,1725,1795,1797,1799,1800,1801,1803,1803
Alaska,Dillingham,84002070,US,USA,840,59.79603738,-158.23819419999995,0,0,0,0,2,19,22,27,31,61,101,122,169,203,208,229,230,234,244,362,605,892,952,998,1267,1547,1767,1919,1946,1987,2061,2127,2152,2185,2197,2214,2245,2269,2271
Alaska,Fairbanks North Star,84002090,US,USA,840,64.80726247,-146.5692662,0,0,35,82,86,155,434,695,1198,2261,3480,4929,5877,6236,6640,7643,8017,8085,8274,9156,12963,15659,17156,17711,24559,26965,27413,27755,28434,29901,31066,32177,32567,32820,32973,33091,33328,33618,33699
Alaska,Haines,84002100,US,USA,840,59.09893571,-135.4679843,0,0,0,0,0,5,8,8,9,13,16,22,26,27,29,31,31,31,31,136,216,232,240,259,407,589,614,633,663,703,738,793,804,806,806,789,795,798,798
Alaska,Hoonah-Angoon,84002105,US,USA,840,58.29307365,-135.64244240000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Juneau,84002110,US,USA,840,58.45031811,-134.200436,0,0,5,27,33,47,147,261,382,580,860,1050,1159,1243,1294,1383,1448,1504,1698,2327,3241,3915,4179,4507,7113,7881,8248,8591,9426,10227,10812,11284,11512,11604,11693,11751,11844,11966,11995
Alaska,Kenai Peninsula,84002122,US,USA,840,60.24429722,-151.53888840000005,0,0,8,19,50,162,463,592,640,1096,2599,3627,3917,4006,4142,4465,4572,4611,5113,6832,8892,11042,11896,12273,15200,17057,17650,18080,18484,19475,20496,21650,21988,22105,22224,22334,22489,22654,22694
Alaska,Ketchikan Gateway,84002130,US,USA,840,55.57445008,-130.975561,0,0,13,16,16,29,48,63,69,86,197,240,284,362,390,439,654,674,722,1116,1469,1734,2077,2375,3347,3759,3934,4057,4382,4740,4893,4991,5034,5050,5066,5093,5126,5143,5148
Alaska,Kodiak Island,84002150,US,USA,840,57.65529415,-153.7493579,0,0,0,1,1,7,15,57,69,120,284,914,1035,1056,1076,1106,1125,1130,1209,1586,2071,2575,2693,2782,4350,4840,4937,4999,5075,5264,5481,5617,5686,5714,5738,5771,5813,5883,5899
