Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
Tajikistan,Unknown,38.861,71.2761,0,0,0,0,47,52,60,68,75,82,86,90,91,91,91,91,91,91,122,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Tanzania,Unknown,-6.369028,34.888822,0,0,1,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,50,725,730,737,789,798,800,803,840,841,841,841,845,845,845,845,846,846,846
Thailand,Unknown,15.870032,100.992541,0,0,10,54,57,58,58,58,59,59,60,61,77,83,94,203,1031,2023,4857,11589,16727,19205,20771,21698,22173,22933,25130,28526,30019,30648,31404,32328,32771,32955,33180,33594,33865,33911,33918
Timor-Leste,Unknown,-8.874217,125.727539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,23,26,67,117,122,122,122,122,128,130,130,131,133,133,138,138,138,138,138,138,138,138
Togo,Unknown,8.6195,0.8248,0,0,1,9,13,14,19,28,48,57,64,68,77,84,109,123,125,129,152,185,229,242,243,248,268,272,272,273,273,275,279,282,285,290,290,290,290,290,290
Tonga,Unknown,-21.179,-175.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,12,12,12,12,12,12,12,12,13,13,13
Trinidad and Tobago,Unknown,10.6918,-61.2225,0,0,3,8,8,8,8,22,76,108,120,127,134,139,142,169,495,847,1070,1291,1482,1696,2158,2869,3404,3628,3750,3829,3917,4011,4053,4144,4207,4249,4267,4283,4326,4347,4355
Tunisia,Unknown,33.886917,9.537499,0,0,10,41,48,50,50,77,265,1317,3260,4676,6754,8001,8812,10722,12654,14959,19686,23451,24890,25241,25373,25569,26288,27784,28323,28550,28641,28691,29041,29234,29249,29257,29268,29284,29308,29331,29341
Turkey,Unknown,38.9637,35.2433,0,0,214,3174,4540,5131,5691,6370,8195,10252,13746,20881,25993,28569,31537,40131,47527,49732,51332,56710,64054,70611,76842,82361,87416,94445,98033,98771,98965,99032,99341,100400,101139,101203,101203,101203,101492,101492,101492
Tuvalu,Unknown,-7.1095,177.6493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Unknown,40.0,-100.0,0,1,5359,66638,107857,127432,153969,182794,205957,230545,270601,350604,446602,511827,548349,572156,590261,600689,609480,637765,696889,744886,779427,825468,888905,950322,983142,996086,1007077,1017630,1030088,1046240,1059507,1070376,1080466,1092764,1108688,1119917,1123836
Uganda,Unknown,1.373333,32.290275,0,0,0,0,0,0,3,32,75,111,205,251,324,334,335,342,362,1023,2690,3012,3156,3215,3256,3294,3533,3588,3596,3597,3602,3621,3628,3628,3630,3630,3630,3630,3630,3630,3630
Ukraine,Unknown,48.3794,31.1656,0,0,17,261,708,1173,1717,2605,4221,7399,12731,19281,23860,27404,34456,45923,52573,54581,55556,57004,59980,72073,91268,102088,106880,112902,114911,115361,115523,116364,116463,116591,117037,117881,118404,118689,118974,119149,119283
United Arab Emirates,Unknown,23.424076,53.847818,0,0,6,105,264,315,351,384,419,495,572,669,850,1221,1497,1587,1680,1811,1949,2041,2097,2136,2147,2164,2243,2301,2302,2302,2305,2316,2335,2341,2345,2348,2348,2348,2348,2349,2349
United Kingdom,Anguilla,18.2206,-63.0686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,8,9,9,9,9,9,10,11,12,12,12,12,12,12,12
United Kingdom,Bermuda,32.3078,-64.7505,0,0,0,6,9,9,9,9,9,9,9,10,12,12,12,28,33,33,33,34,72,101,106,110,117,123,128,131,138,140,144,148,148,148,151,153,157,160,160
United Kingdom,British Virgin Islands,18.4207,-64.64,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,37,37,37,38,39,49,62,62,62,62,63,63,64,64,64,64,64,64,64,64
United Kingdom,Cayman Islands,19.3133,-81.2546,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,11,15,17,25,27,28,28,29,29,32,34,36,37,37,37,37
United Kingdom,Channel Islands,49.3723,-2.3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Gibraltar,36.1408,-5.3536,0,0,0,0,0,0,0,0,0,0,5,7,77,93,94,94,94,94,94,97,97,98,98,100,101,101,101,102,102,104,105,107,108,108,110,110,111,111,111
United Kingdom,Guernsey,49.448196,-2.58949,0,0,1,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,21,23,23,24,30,31,31,43,47,48,54,62,63,64,65,66,69,66,66
United Kingdom,Isle of Man,54.2361,-4.5481,0,0,0,21,24,24,24,24,24,24,25,25,25,25,29,29,29,29,29,38,51,57,66,67,71,80,84,102,106,108,114,116,116,116,116,116,116,116,116
United Kingdom,Jersey,49.2138,-2.1358,0,0,2,20,29,31,31,32,32,32,32,41,66,69,69,69,69,69,69,77,78,80,80,89,100,112,120,126,129,131,133,136,138,141,142,146,157,161,161
United Kingdom,Montserrat,16.742498,-62.187366,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,6,8,8,8,8,8,8,8,8,8,8
United Kingdom,Pitcairn Islands,-24.3768,-128.3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Turks and Caicos Islands,21.694,-71.7979,0,0,0,1,1,2,2,4,6,6,6,6,9,14,17,17,17,18,18,20,23,23,24,26,34,36,36,36,36,36,36,36,36,36,36,36,38,38,38
United Kingdom,Unknown,55.3781,-3.436,1,3,5141,38995,52487,56199,57349,57896,58785,64218,77662,94998,131582,148404,152707,153811,154236,154718,156550,159868,164257,168820,173319,177397,184108,188002,192430,197522,199658,201115,204785,207114,208543,211619,213439,216306,219298,219948,219948
Uruguay,Unknown,-32.5228,-55.7658,0,0,1,17,22,27,35,44,48,58,77,181,436,608,974,2616,4276,5593,5964,6032,6055,6078,6131,6170,6479,6985,7159,7203,7238,7331,7403,7445,7485,7518,7537,7562,7609,7617,7617
Uzbekistan,Unknown,41.377491,64.585262,0,0,2,9,15,26,141,320,470,566,610,614,621,622,629,649,690,736,874,1082,1239,1323,1402,1485,1564,1635,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
Vanuatu,Unknown,-15.3767,166.9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,13,14,14,14,14,14,14,14,14,14,14,14
Venezuela,Unknown,6.4238,-66.5897,0,0,3,16,14,51,164,386,628,798,897,1028,1189,1344,1602,2136,2646,3119,3591,4010,4469,4891,5144,5328,5447,5636,5682,5709,5721,5732,5763,5796,5814,5820,5828,5832,5845,5853,5854
Vietnam,Unknown,14.058324,108.277199,0,0,0,0,0,0,3,34,35,35,35,35,35,35,35,35,47,81,1306,11064,19301,22083,25252,32394,37777,40252,42493,43041,43079,43087,43093,43117,43148,43165,43175,43186,43186,43186,43186
West Bank and Gaza,Unknown,31.9522,35.2332,0,0,1,2,3,8,82,152,311,483,732,1400,1833,2042,2627,3249,3497,3563,3603,3680,4098,4663,4796,4919,5098,5501,5655,5657,5660,5660,5678,5704,5707,5708,5708,5708,5708,5708,5708
Winter Olympics 2022,Unknown,39.9042,116.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Unknown,15.552727,48.516388,0,0,0,2,80,312,493,566,587,599,605,610,615,634,888,1226,1321,1361,1375,1472,1721,1889,1950,1984,2012,2135,2143,2149,2149,2149,2151,2155,2157,2158,2159,2159,2159,2159,2159
Zambia,Unknown,-13.133897,27.849332,0,0,0,3,7,24,151,288,332,349,357,388,763,1091,1208,1251,1281,2199,3389,3602,3648,3661,3667,3734,3917,3952,3966,3976,3987,4006,4015,4016,4017,4017,4019,4024,4047,4057,4057
Zimbabwe,Unknown,-19.015438,29.154857,0,0,1,4,4,7,67,202,228,243,276,363,1217,1463,1523,1567,1594,1789,3532,4419,4623,4678,4707,5004,5338,5395,5444,5469,5503,5555,5577,5596,5602,5606,5620,5637,5652,5663,5671
